director_name,num_critic_for_reviews,director_likes,actor_3_name,actor_3_likes,actor_2_name,actor_2_likes,actor_1_name,actor_1_likes,gross,Movie Name,num_voted_users,cast_total_facebook_likes,num_user_for_reviews,language,country,content_rating,budget,title_year,imdb_score,aspect_ratio,movie_likes
James Cameron,723,64753,Wes Studi,855,Joel David Moore,936,CCH Pounder,1000,760505847,AvatarÂ ,886204,4834,3054,English,USA,PG-13,237000000,2009,7.9,1.78,33000
Gore Verbinski,302,563,Jack Davenport,1000,Orlando Bloom,5000,Johnny Depp,40000,309404152,Pirates of the Caribbean: At World's EndÂ ,471220,48350,1238,English,USA,PG-13,300000000,2007,7.1,2.35,0
Sam Mendes,602,0,Stephanie Sigman,161,Rory Kinnear,393,Christoph Waltz,11000,200074175,SpectreÂ ,275868,11700,994,English,UK,PG-13,245000000,2015,6.8,2.35,85000
Christopher Nolan,813,22000,Joseph Gordon-Levitt,23000,Christian Bale,23000,Tom Hardy,27000,448130642,The Dark Knight RisesÂ ,1144337,106759,2701,English,USA,PG-13,250000000,2012,8.5,2.35,164000
Doug Walker,570,131,,,Rob Walker,12,Doug Walker,131,,Star Wars: Episode VII - The Force AwakensÂ             ,8,143,,English,,,,,7.1,,0
Andrew Stanton,462,475,Polly Walker,530,Samantha Morton,632,Daryl Sabara,640,73058679,John CarterÂ ,212204,1873,738,English,USA,PG-13,263700000,2012,6.6,2.35,24000
Sam Raimi,392,0,Kirsten Dunst,4000,James Franco,11000,J.K. Simmons,24000,336530303,Spider-Man 3Â ,383056,46055,1902,English,USA,PG-13,258000000,2007,6.2,2.35,0
Nathan Greno,324,15,M.C. Gainey,284,Donna Murphy,553,Brad Garrett,799,200807262,TangledÂ ,294810,2036,387,English,USA,PG,260000000,2010,7.8,1.85,29000
Joss Whedon,635,0,Scarlett Johansson,19000,Robert Downey Jr.,21000,Chris Hemsworth,26000,458991599,Avengers: Age of UltronÂ ,462669,92000,1117,English,USA,PG-13,250000000,2015,7.5,2.35,118000
David Yates,375,282,Rupert Grint,10000,Daniel Radcliffe,11000,Alan Rickman,25000,301956980,Harry Potter and the Half-Blood PrinceÂ ,321795,58753,973,English,UK,PG,250000000,2009,7.5,2.35,10000
Zack Snyder,673,0,Alan D. Purwin,2000,Lauren Cohan,4000,Henry Cavill,15000,330249062,Batman v Superman: Dawn of JusticeÂ ,371639,24450,3018,English,USA,PG-13,250000000,2016,6.9,2.35,197000
Bryan Singer,434,0,Frank Langella,903,Marlon Brando,10000,Kevin Spacey,18000,200069408,Superman ReturnsÂ ,240396,29991,2367,English,USA,PG-13,209000000,2006,6.1,2.35,0
Marc Forster,403,395,Rory Kinnear,393,Mathieu Amalric,412,Giancarlo Giannini,451,168368427,Quantum of SolaceÂ ,330784,2023,1243,English,UK,PG-13,200000000,2008,6.7,2.35,0
Gore Verbinski,313,563,Jack Davenport,1000,Orlando Bloom,5000,Johnny Depp,40000,423032628,Pirates of the Caribbean: Dead Man's ChestÂ ,522040,48486,1832,English,USA,PG-13,225000000,2006,7.3,2.35,5000
Gore Verbinski,450,563,Tom Wilkinson,1000,Ruth Wilson,2000,Johnny Depp,40000,89289910,The Lone RangerÂ ,181792,45757,711,English,USA,PG-13,215000000,2013,6.5,2.35,48000
Zack Snyder,733,0,Harry Lennix,748,Christopher Meloni,3000,Henry Cavill,15000,291021565,Man of SteelÂ ,548573,20495,2536,English,USA,PG-13,225000000,2013,7.2,2.35,118000
Andrew Adamson,258,80,DamiÃ¡n AlcÃ¡zar,201,Pierfrancesco Favino,216,Peter Dinklage,22000,141614023,The Chronicles of Narnia: Prince CaspianÂ ,149922,22697,438,English,USA,PG,225000000,2008,6.6,2.35,0
Joss Whedon,703,0,Scarlett Johansson,19000,Robert Downey Jr.,21000,Chris Hemsworth,26000,623279547,The AvengersÂ ,995415,87697,1722,English,USA,PG-13,220000000,2012,8.1,1.85,123000
Rob Marshall,448,252,Stephen Graham,1000,Sam Claflin,11000,Johnny Depp,40000,241063875,Pirates of the Caribbean: On Stranger TidesÂ ,370704,54083,484,English,USA,PG-13,250000000,2011,6.7,2.35,58000
Barry Sonnenfeld,451,188,Nicole Scherzinger,718,Michael Stuhlbarg,816,Will Smith,10000,179020854,Men in Black 3Â ,268154,12572,341,English,USA,PG-13,225000000,2012,6.8,1.85,40000
Peter Jackson,422,0,James Nesbitt,773,Adam Brown,972,Aidan Turner,5000,255108370,The Hobbit: The Battle of the Five ArmiesÂ ,354228,9152,802,English,New Zealand,PG-13,250000000,2014,7.5,2.35,65000
Marc Webb,599,464,Chris Zylka,963,Andrew Garfield,10000,Emma Stone,15000,262030663,The Amazing Spider-ManÂ ,451803,28489,1225,English,USA,PG-13,230000000,2012,7,2.35,56000
Ridley Scott,343,0,Scott Grimes,738,William Hurt,882,Mark Addy,891,105219735,Robin HoodÂ ,211765,3244,546,English,USA,PG-13,200000000,2010,6.7,2.35,17000
Peter Jackson,509,0,James Nesbitt,773,Adam Brown,972,Aidan Turner,5000,258355354,The Hobbit: The Desolation of SmaugÂ ,483540,9152,951,English,USA,PG-13,225000000,2013,7.9,2.35,83000
Chris Weitz,251,129,Kristin Scott Thomas,1000,Eva Green,6000,Christopher Lee,16000,70083519,The Golden CompassÂ ,149019,24106,666,English,USA,PG-13,180000000,2007,6.1,2.35,0
Peter Jackson,446,0,Evan Parke,84,Thomas Kretschmann,919,Naomi Watts,6000,218051260,King KongÂ ,316018,7123,2618,English,New Zealand,PG-13,207000000,2005,7.2,2.35,0
James Cameron,315,0,Gloria Stuart,794,Kate Winslet,14000,Leonardo DiCaprio,29000,658672302,TitanicÂ ,793059,45223,2528,English,USA,PG-13,200000000,1997,7.7,2.35,26000
Anthony Russo,516,94,Chris Evans,11000,Scarlett Johansson,19000,Robert Downey Jr.,21000,407197282,Captain America: Civil WarÂ ,272670,64798,1022,English,USA,PG-13,250000000,2016,8.2,2.35,72000
Peter Berg,377,532,Tadanobu Asano,627,Alexander SkarsgÃ¥rd,10000,Liam Neeson,14000,65173160,BattleshipÂ ,202382,26679,751,English,USA,PG-13,209000000,2012,5.9,2.35,44000
Colin Trevorrow,644,365,Omar Sy,1000,Judy Greer,2000,Bryce Dallas Howard,3000,652177271,Jurassic WorldÂ ,418214,8458,1290,English,USA,PG-13,150000000,2015,7,2,150000
Sam Mendes,750,0,Rory Kinnear,393,Helen McCrory,563,Albert Finney,883,304360277,SkyfallÂ ,522030,2039,1498,English,UK,PG-13,200000000,2012,7.8,2.35,80000
Sam Raimi,300,0,Kirsten Dunst,4000,James Franco,11000,J.K. Simmons,24000,373377893,Spider-Man 2Â ,411164,43388,1303,English,USA,PG-13,200000000,2004,7.3,2.35,0
Shane Black,608,1000,Don Cheadle,3000,Jon Favreau,4000,Robert Downey Jr.,21000,408992272,Iron Man 3Â ,557489,30426,1187,English,USA,PG-13,200000000,2013,7.2,2.35,95000
Tim Burton,451,13000,Anne Hathaway,11000,Alan Rickman,25000,Johnny Depp,40000,334185206,Alice in WonderlandÂ ,306320,79957,736,English,USA,PG,200000000,2010,6.5,1.85,24000
Brett Ratner,334,420,Daniel Cudmore,560,Kelsey Grammer,808,Hugh Jackman,20000,234360014,X-Men: The Last StandÂ ,383427,21714,1912,English,Canada,PG-13,210000000,2006,6.8,2.35,0
Dan Scanlon,376,37,Sean Hayes,760,Tyler Labine,779,Steve Buscemi,12000,268488329,Monsters UniversityÂ ,235025,14863,265,English,USA,G,200000000,2013,7.3,1.85,44000
Michael Bay,366,0,Ramon Rodriguez,464,Kevin Dunn,581,Glenn Morshower,894,402076689,Transformers: Revenge of the FallenÂ ,323207,3218,1439,English,USA,PG-13,200000000,2009,6,2.35,0
Michael Bay,378,0,Kelsey Grammer,808,Sophia Myles,956,Bingbing Li,974,245428137,Transformers: Age of ExtinctionÂ ,242420,3988,918,English,USA,PG-13,210000000,2014,5.7,2.35,56000
Sam Raimi,525,0,James Franco,11000,Mila Kunis,15000,Tim Holmes,44000,234903076,Oz the Great and PowerfulÂ ,175409,73441,511,English,USA,PG,215000000,2013,6.4,2.35,60000
Marc Webb,495,464,B.J. Novak,825,Andrew Garfield,10000,Emma Stone,15000,202853933,The Amazing Spider-Man 2Â ,321227,28631,1067,English,USA,PG-13,200000000,2014,6.7,2.35,41000
Joseph Kosinski,469,364,James Frain,1000,Olivia Wilde,10000,Jeff Bridges,12000,172051787,TRON: LegacyÂ ,264183,25550,665,English,USA,PG,170000000,2010,6.8,2.35,30000
John Lasseter,304,487,Eddie Izzard,776,Thomas Kretschmann,919,Joe Mantegna,1000,191450875,Cars 2Â ,101178,4482,283,English,USA,G,200000000,2011,6.3,2.35,10000
Martin Campbell,436,258,Taika Waititi,326,Temuera Morrison,368,Ryan Reynolds,16000,116593191,Green LanternÂ ,223393,17657,550,English,USA,PG-13,200000000,2011,5.6,2.35,24000
Lee Unkrich,453,125,Don Rickles,721,John Ratzenberger,1000,Tom Hanks,15000,414984497,Toy Story 3Â ,544884,19085,733,English,USA,G,200000000,2010,8.3,1.85,30000
McG,422,368,Common,988,Bryce Dallas Howard,3000,Christian Bale,23000,125320003,Terminator SalvationÂ ,286095,27468,974,English,USA,PG-13,200000000,2009,6.6,2.35,0
James Wan,424,0,Vin Diesel,14000,Paul Walker,23000,Jason Statham,26000,350034110,Furious 7Â ,278232,79150,657,English,USA,PG-13,190000000,2015,7.2,2.35,94000
Marc Forster,654,395,Mireille Enos,1000,Brad Pitt,11000,Peter Capaldi,17000,202351611,World War ZÂ ,465019,32392,995,English,USA,PG-13,190000000,2013,7,2.35,129000
Bryan Singer,539,0,Hugh Jackman,20000,Peter Dinklage,22000,Jennifer Lawrence,34000,233914986,X-Men: Days of Future PastÂ ,514125,91434,752,English,USA,PG-13,200000000,2014,8,2.35,82000
J.J. Abrams,590,14000,Noel Clarke,928,Bruce Greenwood,981,Benedict Cumberbatch,19000,228756232,Star Trek Into DarknessÂ ,395573,21411,1171,English,USA,PG-13,190000000,2013,7.8,2.35,92000
Bryan Singer,338,0,Ralph Brown,140,Ewen Bremner,557,Eddie Marsan,979,65171860,Jack the Giant SlayerÂ ,106416,1766,205,English,USA,PG-13,195000000,2013,6.3,2.35,22000
Baz Luhrmann,490,1000,Steve Bisley,77,Elizabeth Debicki,509,Leonardo DiCaprio,29000,144812796,The Great GatsbyÂ ,362912,29770,753,English,Australia,PG-13,105000000,2013,7.3,2.35,115000
Mike Newell,306,179,Reece Ritchie,236,Richard Coyle,567,Jake Gyllenhaal,15000,90755643,Prince of Persia: The Sands of TimeÂ ,222403,16149,453,English,USA,PG-13,200000000,2010,6.6,2.35,23000
Guillermo del Toro,575,0,Larry Joe Campbell,919,Clifton Collins Jr.,968,Charlie Hunnam,16000,101785482,Pacific RimÂ ,381148,19166,1106,English,USA,PG-13,190000000,2013,7,1.85,83000
Michael Bay,428,0,Kevin Dunn,581,Lester Speight,829,Glenn Morshower,894,352358779,Transformers: Dark of the MoonÂ ,326180,2593,899,English,USA,PG-13,195000000,2011,6.3,2.35,46000
Steven Spielberg,470,14000,Jim Broadbent,1000,Ray Winstone,1000,Harrison Ford,11000,317011114,Indiana Jones and the Kingdom of the Crystal SkullÂ ,333847,14959,2054,English,USA,PG-13,185000000,2008,6.2,2.35,5000
Peter Sohn,298,113,Peter Sohn,113,Jack McGraw,150,A.J. Buckley,275,123070338,The Good DinosaurÂ ,62836,696,345,English,USA,PG,,2015,6.8,2.35,20000
Mark Andrews,488,56,Julie Walters,838,John Ratzenberger,1000,Kelly Macdonald,2000,237282182,BraveÂ ,273556,5005,428,English,USA,PG,185000000,2012,7.2,2.35,39000
Justin Lin,322,681,Lydia Wilson,105,Melissa Roxburgh,119,Sofia Boutella,998,130468626,Star Trek BeyondÂ ,53607,1327,432,English,USA,PG-13,185000000,2016,7.5,2.35,30000
Andrew Stanton,421,475,Jeff Garlin,522,Fred Willard,729,John Ratzenberger,1000,223806889,WALLÂ·EÂ ,718837,2975,1043,English,USA,G,180000000,2008,8.4,2.35,16000
Brett Ratner,162,420,NoÃ©mie Lenoir,173,Dana Ivey,268,Tzi Ma,268,140080850,Rush Hour 3Â ,121084,1125,221,English,USA,PG-13,140000000,2007,6.2,2.35,0
Roland Emmerich,367,776,Tom McCarthy,310,Liam James,468,Oliver Platt,1000,166112167,2012Â ,283418,2144,1055,English,USA,PG-13,200000000,2009,5.8,2.35,13000
